smiles	RT
COc1ccc(-c2nnc(Cc3nc(-c4ccc5c(c4)OCO5)no3)o2)cc1OC	939.6
CCc1nc2cccnc2n1CCN1CCN(C(=O)Nc2ccc(Br)cc2)CC1	630.6
CC(C)c1ccc2c(c1)-c1ccccc1S(=O)(=O)N2CC(O)=NCCN1CCOCC1	691.6
O=C1CCCN1c1nnc(N2CCC[C@H]2C(O)=NCCc2c[nH]c3ccccc23)s1	690.0
CC(C)(C)c1ccc(O)c(N=C(O)c2cn(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)cn2)c1	965.6
Cc1ccc(-c2nc(N3C[C@@H](C)C[C@H](C)C3)c3ccccc3n2)cc1	931.9
Cc1ccc(Nc2cc(C)nc(N3CCN(C(O)=Nc4ccccc4)CC3)n2)cc1	738.4
CC[C@H](C)[C@@H](N=C(O)c1cc(F)cc(F)c1)C(O)=Nc1nc2ccccc2[nH]1	787.0
Cc1cccc(CN=C(O)[C@]2(C)Cn3cnc(C(O)=NC4CCCCC4)c3C(=O)N2C2CC2)c1	818.7
CC(C)CN(Cc1cccnc1)C1CN(S(=O)(=O)Cc2ccccc2F)C1	734.3
O=c1c(NC(O)=Nc2ccc(F)cc2F)nccn1-c1cccc(F)c1	971.1
CCOC(=O)C1=C(CN2CCN(c3ncccn3)CC2)N=C(O)N[C@@H]1c1ccc(Cl)cc1	669.1
O=C(CCC[C@@H]1[C@H]2CCCN3CCC[C@@H](CN1C(=O)c1cccnc1)[C@@H]23)N1CCN=C(O)C1	629.0
CCC(=O)N1CCOc2ccc(N(C)C)cc2C1	569.8
Cc1ccc(-n2c(N3CCC[C@@H](C(O)=NCc4ccccc4Cl)C3)nc3ccsc3c2=O)cc1	946.3
COC(=O)C1CCN(S(=O)(=O)c2ccc(Cl)c(-c3nnc(-c4ccccc4)o3)c2)CC1	1036.8
COc1ccc(S(=O)(=O)N2CC(=O)N(C3CCCC3)C3(CCCCC3)C2)cc1OC	1078.9
CCOC(=O)c1cn(CC(O)=Nc2cc(F)ccc2F)nn1	740.2
COCCC(=O)N1CCc2c(c(-c3nc(C4CC4)no3)nn2C)C1	669.6
Cc1cc([C@H]2CCCN2C(=O)Nc2ccc(C)c(C)c2)on1	728.4
Cc1cc(C(=O)Nc2nc3c(F)cccc3s2)no1	780.0
Cn1c(C2CCN(S(=O)(=O)c3ccc(F)c(Cl)c3)CC2)cc(=O)n2nccc12	722.5
O=[N+]([O-])c1cccc(-c2csc(SCC(O)=NCc3ccccc3)n2)c1	890.3
Cc1cc(C)c(S(=O)(=O)N2CCC(C(O)=NCc3csc(-c4ccccc4)n3)CC2)c(C)c1	1048.6
COc1ccc(-c2ncc3c(=O)n(Cc4ccccc4C)c(=O)n(C)c3n2)cc1	679.0
CC(C)Cn1cc(CCN=C(O)c2c(F)cccc2F)c2cccnc21	788.0
O=c1n(Cc2ccccc2Cl)nc2ccc(S(=O)(=O)N3CCCC3)cn12	865.8
CCOc1ccc(N(C)C(=O)[C@@H]2CCCN2S(=O)(=O)c2cc(C(=O)OC)n(C)c2)cc1	825.3
CCCNC(=O)c1n[nH]c2c1CCCCCC2	776.1
Cc1cc(C)n(-c2ccnc(N3CCC(C(O)=NCC(C)C)CC3)n2)n1	767.9
CC(C)(C)N=C(O)Cn1ccn2nc(-c3ccc(F)cc3)c(CO)c2c1=O	737.7
C=CCn1c(=O)c2ccccc2n(Cc2nc(-c3ccccc3OCC)no2)c1=O	1000.0
CC[C@@H]1CCCCN1S(=O)(=O)c1cc(-c2nc(C)c(C)s2)sc1C	1324.8
O[C@H](COc1ccc(Cl)cc1Cl)CN1CCCC1	569.8
COCCN=C(O)[C@H]1c2ccccc2C(=O)N(C)[C@@H]1c1cccs1	679.0
CCCn1c(=O)sc2cc(S(=O)(=O)N3CCC(C(=O)N4CCC(C)CC4)CC3)ccc21	994.5
O=C(c1cnccn1)N1CCCCCN=C(O)[C@@H]2CCC[C@@H]21	619.7
CC(=O)N1CCN(C(=O)[C@H]2CCCN(c3ccc(-c4ccc(C)c(C)c4)nn3)C2)CC1	621.6
CCCN1CCN(C(=O)[C@@H]2Cc3cc(S(=O)(=O)N4CCCCC4)ccc3N2C(C)=O)CC1	629.7
COc1ccc(C)cc1NC(=O)C(=O)NCCc1csc(-c2ccc(Cl)cc2)n1	1278.8
Cc1cc(=NC(=O)CSc2nc(-c3cccnc3)ccc2C#N)[nH]o1	625.7
CCN(C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1)C1CCCCC1	855.0
CCOCCCNCc1ccc(-c2ccc(Br)cc2)o1	704.7
Cc1cccc(C(O)=Nc2c(-c3ccccc3)nc3cc(C)ccn23)c1	673.7
Cc1oc(-c2ccccc2)nc1Cc1noc(COc2ccccc2)n1	1093.1
CCn1ccc(=NC(O)=Nc2cc(C)cc(C)c2)[nH]1	852.8
Cc1ccc(N2C[C@H](c3noc(-c4ccccc4C)n3)CC2=O)cc1	1088.1
Cc1cc(C)cc(N2CC[C@H](NC(O)=NCc3cccc(F)c3)C2=O)c1	851.1
CCc1cccc(N=C(O)C2CCN(S(=O)(=O)c3cc(-c4noc(C5CC5)n4)cs3)CC2)c1	1110.1
OC(=NC1CCCC1)c1ccc2ccnc(N3CCN(c4ccc(F)cc4)CC3)c2c1	802.8
CSc1cccc(N=C(O)C2CCN(S(=O)(=O)c3ccc(-c4noc(C5CC5)n4)cc3)CC2)c1	1098.3
CCc1noc(N=C(C)O)c1-c1ccc(OC)c(S(=O)(=O)NCc2ccc(OC)cc2)c1	757.9
O=C(NCCC1=CCCCC1)c1nc(=Nc2ccc(F)cc2)c2ccccc2[nH]1	962.5
Cc1ccc(C)c(N=C(O)[C@@H]2CC(=O)N(c3ccc4c(c3)CCN4C(=O)C3CC3)C2)c1	768.0
COCCN=C(O)COc1nc(C)nc2onc(-c3ccc(F)cc3)c12	782.1
COc1ccccc1CNC(=O)c1nnc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)o1	905.7
O=S(=O)(c1cc(-c2noc(C3CCC3)n2)cs1)N1CCC[C@@H](C(O)=Nc2cccnc2)C1	893.4
COc1ccc(-c2nc3nccc(-c4ccsc4)n3n2)c(OC)c1	831.9
c1ccc(NN(Cc2ccncc2)c2ccccc2)cc1	774.0
CCCN(C[C@@H]1CCOC1)C(O)=Nc1cccc(CC)c1	864.3
O=C(O)c1c[nH]c(=NCc2ccco2)nc1-c1ccccc1	772.4
Cc1cccc(Cn2c(=O)n(CCNC(=O)c3cccn3C)c3ncccc32)c1	825.8
Cc1cccc(Sc2nccnc2N2CCC[C@H](C(O)=NCCCc3ccccc3)C2)c1	1185.6
OC(=NCc1ccco1)c1c(O)nc2ccsc2c1O	787.4
N#Cc1ccccc1CN1CCC2(CC[C@H]2N2CCOCC2)CC1	689.9
Cc1ccc(-c2csc(N=C(O)c3ccccc3Br)n2)cc1	1082.3
O=c1ccc(-c2nc(-c3ccc4c(c3)OCO4)no2)cn1Cc1cc(=O)n2ccccc2n1	739.6
Cc1ccc(Nc2c(-c3ccc(N(C)C)cc3)nc3cc(C)ccn23)cc1	828.0
CCOc1ccc(-c2ccc(=O)n(Cc3nc(-c4ccc(C)c(C)c4)no3)n2)cc1	575.6
COc1ccc(-c2nc(N(C)C3CCCCC3)c3ccccc3n2)cc1	918.5
COC(=O)c1c(C)[nH]c(C(=O)N2CCC(CC(O)=NCCc3c[nH]c4ccc(Cl)cc34)CC2)c1C	785.3
CCN(CC)S(=O)(=O)c1cc(-c2nnc(-c3ccccc3Cl)o2)ccc1C	1129.2
COCCn1c(CCCC(=O)N2CCN(c3ncccn3)CC2)nc2cccnc21	595.9
CCCN=c1[nH]c(-c2cccc(Cl)c2)cs1	1025.0
C[C@@]1(C(O)=NCc2ccc(F)cc2)CN(S(C)(=O)=O)CC(=O)N1Cc1ccccc1Cl	847.7
CCOc1ccccc1N=C(O)N1CC(Cc2nncn2C(C)C)C1	662.3
O=C(CCCn1c(=O)c2cccn2c2ccc(F)cc21)N1CCN(c2ccccn2)CC1	634.7
CC1=C(c2ccc(C)c(C)c2)S(=O)(=O)N=C1N1CCC(N=C(O)C2CCC2)CC1	853.3
Clc1ccccc1-c1nc(-c2ccc(-n3cccn3)nc2)no1	1265.3
CCOC(=O)[C@H]1CCc2sc(N=C(O)Cc3noc4ccccc34)nc21	817.6
CN(C)c1nc2cc(C(=O)NCC3CC3)sc2n1-c1ccccc1	702.1
Cc1nc(C)c(C(=O)N2CCC[C@@H](n3c(C)cnc3C3CCC3)C2)s1	591.4
CCS(=O)(=O)N1CCC[C@@H](c2nc(C(C)C)no2)CCN=C(O)CC1	686.3
c1ccc(-c2nnc(-c3nc(=NCCc4cccs4)c4ccccc4[nH]3)o2)cc1	1041.6
COc1ccc(N=C(O)N2CC[C@]3(C2)Nc2cccnc2N=C3NC(C)(C)C)cc1F	677.4
Cc1ccc(NC(=O)[C@H]2CCc3sc(C(=O)N4CCOCC4)cc3C2)cc1	841.9
Cc1ccc(CSc2nnc3c(S(=O)(=O)N4CCN(c5ccc(F)cc5)CC4)cccn23)cc1	998.4
COc1ccc(OC)c(CN=C(O)[C@@H]2CCCN(c3nccnc3Sc3ccccc3)C2)c1	1002.7
Cc1nn([C@@H](C)C(O)=Nc2ccc(F)cc2F)c(=O)c2c(-n3cccc3)n(-c3ccccc3)nc12	1104.7
O=C(c1ccsc1)N1CC(F)(F)C[C@H]1COc1ccc2c(c1)CCC2	1151.4
O=C(Cc1ccsc1)N1CCC2(CC1)N=C(c1ccccc1)NO2	774.0
CCc1nc(-c2ccc3c(c2)CCN3C(=O)Cc2cccc(F)c2)no1	1032.0
COc1cccc(N=C(O)Cn2nc3cc(C)nc(Nc4ccc(C)c(C)c4)n3c2=O)c1	1103.6
CCOc1ccc(C(=O)N2CCC[C@H]2c2nc(-c3ccc(OC)cc3)no2)cc1	885.5
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC	770.6
Cc1cc(C)n2c(Nc3ccccc3)c(-c3ccc(Br)cc3O)nc2n1	1118.1
O=C(c1cccc(Br)c1)N1CCN(C(=O)N2CCOCC2)CC1	631.0
OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O	735.7
Cc1ccc2c(c1)N(C)N=C(C(=O)N1CCOCC1)S2(=O)=O	669.4
Cc1cc(C)cc(NS(=O)(=O)c2cc3c(s2)CCN(C(=O)C2CCC2)C3)c1	961.9
O=c1c(CCC(O)=NC2CC2)nc2ccccc2n1CC(O)=Nc1ccccc1Br	711.8
O=S(=O)(Cc1ccccc1F)N1CCC(OCCOCc2ccccc2)CC1	1008.2
CCN1CCn2cc(C(O)=NCc3ccc(SC)cc3)nc2C1	595.9
O=C(c1cc(-c2ccco2)on1)N1CCn2c1nc1ccccc12	621.3
